	Druid|Balance|
Starlight Wrath|1|0|
Genesis|2|0|
Moonglow|0|1|
Nature's Majesty|1|1|
Improved Moonfire|3|1|
Brambles|0|2|
Nature's Grace|1|2|
Nature's Splendor|2|2|
Nature's Reach|3|2|
Vengeance|1|3|
Celestial Focus|2|3|
Lunar Guidance|0|4|
Insect Swarm|1|4|
Improved Insect Swarm|2|4|
Dreamstate|0|5|
Moonfury|1|5|
Balance of Power|2|5|
Moonkin Form|1|6|
Improved Moonkin Form|2|6|
Improved Faerie Fire|3|6|
Owlkin Frenzy|0|7|
Wrath of Cenarius|2|7|
Eclipse|0|8|
Typhoon|1|8|
Force of Nature|2|8|
Gale Winds|3|8|
Earth and Moon|1|9|
Starfall|1|10|
	Druid|Feral|
Ferocity|1|0|
Feral Aggression|2|0|
Feral Instinct|0|1|
Savage Fury|1|1|
Thick Hide|2|1|
Feral Swiftness|0|2|
Survival Instincts|1|2|
Sharpened Claws|2|2|
Shredding Attacks|0|3|
Predatory Strikes|1|3|
Primal Fury|2|3|
Primal Precision|3|3|
Brutal Impact|0|4|
Feral Charge|2|4|
Nurturing Instinct|3|4|
Natural Reaction|0|5|
Heart of the Wild|1|5|
Survival of the Fittest|2|5|
Leader of the Pack|1|6|
Improved Leader of the Pack|2|6|
Primal Tenacity|3|6|
Protector of the Pack|0|7|
Predatory Instincts|2|7|
Infected Wounds|3|7|
King of the Jungle|0|8|
Mangle|1|8|
Improved Mangle|2|8|
Rend and Tear|1|9|
Primal Gore|2|9|
Berserk|1|10|
	Druid|Restoration|
Improved Mark of the Wild|0|0|
Nature's Focus|1|0|
Furor|2|0|
Naturalist|0|1|
Subtlety|1|1|
Natural Shapeshifter|2|1|
Intensity|0|2|
Omen of Clarity|1|2|
Master Shapeshifter|2|2|
Tranquil Spirit|1|3|
Improved Rejuvenation|2|3|
Natural Alacrity|0|4|
Gift of Nature|1|4|
Improved Tranquility|3|4|
Empowered Touch|0|5|
Nature's Bounty|2|5|
Living Spirit|0|6|
Swiftmend|1|6|
Natural Perfection|2|6|
Empowered Rejuvenation|1|7|
Living Seed|2|7|
Revitalize|0|8|
Tree of Life|1|8|
Improved Tree of Life|2|8|
Improved Barkskin|0|9|
Gift of the Earthmother|2|9|
